Waterbody_Name,Fish_Species_Present_at_Waterbody,Number_of_species,Comments,Special_Regulations_on_Waterbody,County,Types_of_Public_Access,Public_Fishing_Access_Owner,Waterbody_Information,Longitude,Latitude,Location
Cayuta Creek,Brown Trout* - Sunfish,2,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.61196356,42.22733763,"(42.227337629, -76.611963564)"
West Branch Owego Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31498.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement - Potato Hill State Forest (DEC),http://www.dec.ny.gov/outdoor/71802.html,-76.24418307,42.34236493,"(42.342364928, -76.244183074)"
Springwater Creek,Brown Trout - Rainbow Trout,2,City of Rochester permit required north of Kellogg Rd (585-428-6680).,http://www.dec.ny.gov/outdoor/31505.html,Livingston,Shore Fishing - Public Fishing Rights,Springwater Town Park - Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsprngwtck.pdf,-77.60234146,42.63465191,"(42.634651912, -77.602341462)"
Irondequoit Creek,Brown Trout* - Chinook Salmon - Coho Salmon - Steelhead*,4,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Shore Fishing,Ellison County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrirondiqck.pdf,-77.52133133,43.15061015,"(43.150610148, -77.521331332)"
Black Creek,Northern Pike,1,None,,Monroe,Shore Fishing - Boat Launch (Hand Launch),Black Creek Waterway Access (DEC),http://www.dec.ny.gov/outdoor/23886.html,-77.68081927,43.09473159,"(43.094731591, -77.680819269)"
Cryder Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/crydercreek.pdf,-77.77401942,42.03629822,"(42.036298217, -77.774019415)"
Oatka Creek,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31448.html,Genesee,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroatkacreek.pdf,-77.94478203,43.01387474,"(43.013874737, -77.944782026)"
Mill Creek,Brook Trout - Brown Trout,2,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrmillckr8.pdf,-77.61225452,42.54355596,"(42.543555961, -77.612254518)"
Sandy Creek,Brown Trout - Chinook Salmon* - Coho Salmon* - Steelhead*,4,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsandycreek.pdf,-77.96462072,43.29709023,"(43.297090234, -77.964620723)"
Oak Orchard Creek,Atlantic Salmon - Brown Trout - Chinook Salmon* - Coho Salmon* - Steelhead*,5,Privately owned campground available.,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Footpath,DEC,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroakorchrv.pdf,-78.23945374,43.33739277,"(43.337392769, -78.239453738)"
Marsh Creek,Brown Trout - Chinook Salmon - Coho Salmon - Steelhead*,4,None,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroakorchrv.pdf,-78.13425177,43.32702281,"(43.327022811, -78.134251767)"
Johnson Creek,Brown Trout - Chinook Salmon - Coho Salmon - Steelhead*,4,None,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrjohnsonck.pdf,-78.35887601,43.33533277,"(43.335332766, -78.358876011)"
Oswego River Lower,Brown Trout - Steelhead* - Chinook Salmon* - Coho Salmon - Smallmouth Bass - Yellow Perch - Crappie - Walleye - Carp - Channel Catfish,10,Fishing pier available at municipal park.,,Oswego,Shore Fishing - Boat Launch (Trailer Improved),West Side Riverfront Linear Park (Municipal),http://www.dec.ny.gov/outdoor/41044.html,-76.51110211,43.45841205,"(43.458412046, -76.511102113)"
Oswego River Upper,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Walleye - Carp - Channel Catfish,8,None,,Oswego,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/41044.html,-76.41550913,43.33556861,"(43.335568609, -76.415509131)"
Oneida River,Largemouth Bass - Smallmouth Bass - Crappie - Northern Pike - Carp - Channel Catfish,6,None,,Onondaga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23881.html,-76.26629965,43.21037812,"(43.210378118, -76.266299646)"
Salmon River,Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Atlantic Salmon* - Smallmouth Bass,6,None,,Oswego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/37926.html,-76.03600194,43.53104019,"(43.531040188, -76.036001935)"
North Branch Salmon River,Brook Trout*,1,None,,Oswego,Shore Fishing - Public Fishing Rights,Public Easement - Battle Hill State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/r7nbrsalrpfr.pdf,-75.82685673,43.5693341,"(43.569334098, -75.826856729)"
Chittenango Creek,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement - Cittenango Falls State Park,http://www.dec.ny.gov/outdoor/71484.html,-75.83679387,42.97497208,"(42.974972077, -75.836793871)"
Butternut Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7buttnutpfr.pdf,-76.0664965,42.84132145,"(42.841321446, -76.066496504)"
Limestone Creek,Brook Trout* - Brown Trout*,2,None,,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/71711.html,-75.90532697,42.88103485,"(42.881034849, -75.905326967)"
Carmans River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Suffolk county permit required (631-854-4949).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing,Southhaven County Park,,-72.88781717,40.80907075,"(40.809070751, -72.887817171)"
Seneca River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp - Channel Catfish,10,None,,Cayuga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/66680.html,-76.64529454,43.07864084,"(43.078640839, -76.645294543)"
Ninemile Creek,Brook Trout* - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/71660.html,-76.33045112,43.02644329,"(43.026443294, -76.330451117)"
Grout Brook,Rainbow Trout*,1,None,http://www.dec.ny.gov/outdoor/31439.html,Cortland,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7groutbrpfr.pdf,-76.26508009,42.74187912,"(42.74187912, -76.265080086)"
Owasco Inlet,Brown Trout* - Rainbow Trout*,2,None,,Cayuga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7owascoinpfr.pdf,-76.40716778,42.64194629,"(42.641946291, -76.407167784)"
Naples Creek,Brook Trout - Brown Trout - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31417.html,Ontario,Shore Fishing - Public Fishing Rights,Public Easement - High Tor State Wildlife Management Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnaplesck.pdf,-77.4036067,42.6094794,"(42.609479403, -77.403606702)"
Salmon Creek,Atlantic Salmon - Brown Trout* - Rainbow Trout* - Smallmouth Bass,4,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7salcrekpfr.pdf,-76.53821564,42.55054331,"(42.550543308, -76.538215641)"
Fall Creek,Atlantic Salmon - Brook Trout* - Brown Trout* - Rainbow Trout - Smallmouth Bass,5,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7fallcrpfr.pdf,-76.28312588,42.59899543,"(42.598995432, -76.28312588)"
Fall Creek (Upper),Brook Trout* - Brown Trout*,2,None,,Cayuga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7fallcrpfr.pdf,-76.27899446,42.63980371,"(42.639803711, -76.278994455)"
Cayuga Inlet,Brown Trout - Rainbow Trout* - Atlantic Salmon,3,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/72779.html,-76.55402228,42.36873736,"(42.368737364, -76.554022279)"
Cold Brook,Brown Trout - Rainbow Trout - Atlantic Salmon,3,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkeukainlt.pdf,-77.25839824,42.39487478,"(42.394874784, -77.258398236)"
Guyanoga Creek,Rainbow Trout,1,None,http://www.dec.ny.gov/outdoor/31417.html,Yates,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrgyanogack.pdf,-77.14955431,42.59980095,"(42.59980095, -77.149554309)"
Catharine Creek,Rainbow Trout,1,None,,Schuyler,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcathrneck.pdf,-76.84384191,42.32827481,"(42.32827481, -76.843841906)"
McCorn Creek,Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.60608284,42.26761268,"(42.267612682, -76.606082843)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.8656649,42.0823401,"(42.082340095, -76.865664903)"
Cohocton River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcohoctriv.pdf,-77.3495599,42.35729338,"(42.357293382, -77.349559895)"
Neil Creek,Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneilcreek.pdf,-77.47995833,42.4276311,"(42.427631095, -77.479958326)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,6,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.60037003,42.19364448,"(42.193644482, -75.60037003)"
Tioughnioga River,Smallmouth Bass - Northern Pike - Walleye - Carp,4,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23910.html,-75.84619997,42.23825151,"(42.238251511, -75.846199971)"
Sangerfield River,Brown Trout* - Smallmouth Bass - Northern Pike - Walleye - Carp,5,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/66157.html,-75.54019422,42.71832195,"(42.718321946, -75.540194217)"
Otselic River,Brown Trout* - Walleye,2,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7otselripfr.pdf,-75.81528705,42.61986468,"(42.619864684, -75.815287051)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,4,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.68133041,42.36438528,"(42.364385279, -75.681330413)"
Upper Peconic River,Largemouth Bass - Sunfish - Chain Pickerel,3,DEC Access permit required (631-444-0280).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Otis Pike Preserve (DEC),http://www.dec.ny.gov/outdoor/23865.html,-72.74334495,40.90509327,"(40.905093268, -72.743344951)"
Connetquot River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Fishing pier available at state park. OPRHP permit required (631-669-1000).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing,Connetquot River State Park,,-73.15213417,40.74809242,"(40.748092416, -73.152134173)"
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Fishing pier available at state park. OPRHP permit required (631-669-1000).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Caleb Smith State Park Preserve (New York State Park),http://www.dec.ny.gov/outdoor/23865.html,-73.22730003,40.84648297,"(40.846482971, -73.227300031)"
Saranac River,Brown Trout* - Rainbow Trout* - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,9,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsaranac.pdf,-73.81110113,44.60489443,"(44.604894425, -73.811101127)"
North Branch Saranac River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbsaranac.pdf,-73.91823852,44.57867261,"(44.578672605, -73.918238523)"
Salmon River,Brook Trout - Brown Trout*,2,Camping available at state park.,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement - Macomb Reservation State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrc.pdf,-73.6398305,44.61159459,"(44.611594588, -73.639830499)"
Arnold Brook,Brook Trout - Brown Trout*,2,None,,Clinton,,,,-73.5419825,44.59367772,"(44.593677719, -73.541982496)"
Ausable River,Brown Trout* - Rainbow Trout*,2,None,http://www.dec.ny.gov/outdoor/31443.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrausable.pdf,-73.56746391,44.4679729,"(44.467972896, -73.567463912)"
West Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Camping available at Wilmington Notch DEC Campground.,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing,Whiteface Mountain Ski Center (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwbausable.pdf,-73.85940933,44.35422113,"(44.354221132, -73.859409331)"
Chubb River,Brook Trout* - Brown Trout*,2,None,,Essex,Shore Fishing - Public Fishing Rights,Public Easement - High Peaks Wilderness (DEC),http://www.dec.ny.gov/lands/9164.html,-74.01399775,44.26275951,"(44.262759513, -74.013997746)"
Great Chazy River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Muskellunge - Norhtern Pike - Chain Pickerel - Walleye - Carp,9,None,http://www.dec.ny.gov/outdoor/31510.html,Clinton,Boat Launch (Trailer Improved),New York State Parks,http://www.dec.ny.gov/outdoor/23904.html,-73.38672435,44.93221207,"(44.932212074, -73.386724349)"
North Branch Great Chazy River,Brown Trout* - Rainbow Trout* - Smallmouth Bass,3,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbchazy.pdf,-73.77431229,44.90598344,"(44.905983443, -73.774312288)"
Carew Brook,Brown Trout,1,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,,-73.87722474,44.88434423,"(44.884344232, -73.877224739)"
Mill Brook,Brook Trout - Brown Trout*,2,None,,Essex,,,,-73.47960261,44.05270926,"(44.052709263, -73.47960261)"
Timmerman Creek,Brown Trout*,1,None,,Montgomery,,,,-74.68394031,43.0172292,"(43.017229195, -74.683940305)"
